Tên sản phẩm,Giá gốc,Giá bán,Kích thước màn hình,RAM,Bộ nhớ,Chipset,Pin,Kích thước,Bluetooth,Camera trước,Wi-Fi,Hệ điều hành,Độ phân giải màn hình,Tần số quét,Trọng lượng,Quay video,GPU,Cổng sạc,url,image_url,web
Samsung Galaxy S6 Edge (Nobox - Likenew 99%),,4.490.000₫,5.1,3GB,32GB,Exynos 7420 8 nhân 64-bit,2600mAh,Dài 142.1 mm - Ngang 70.1 mm - Dày 7 mm,"A2DP, V4.1",5MP,"Wi-Fi 802.11 a/b/g/n/ac, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 6.0 (Marshmallow),,,132g,Quay phim 4K 2160p@30fps,Mali-T760,Micro USB,,,Worldphone
Samsung Galaxy S6 Docomo (Nobox - Likenew 99%),,3.790.000₫,5.1,3GB,32GB,Exynos 7420 8 nhân 64-bit,2550mAh,Dài 143.4 mm - Ngang 70.5 mm - Dày 6.8 mm,"apt-X, A2DP, LE, V4.0",5MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot",Android 6.0 (Marshmallow),,,138 g,Quay phim 4K 2160p@30fps,Mali-T760,Micro USB,,,Worldphone
Samsung Galaxy Note 5 (Nobox - Likenew 99%),,3.290.000₫,5.7,4GB,32GB,Exynos 7420 8 nhân 64-bit,3000mAh,Dài 153.2 mm - Ngang 76.1 mm - Dày 7.6 mm,"Có, EDR, LE, A2DP",5MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 6.0 (Marshmallow),,,171g,Quay phim 4K 2160p@30fps,Mali-T760,Micro USB,,,Worldphone
Samsung Galaxy Note 7 FE (Nobox - Likenew 99%),,10.490.000₫,5.7,4GB,64GB,Exynos 8890 8 nhân 64-bit,3200mAh,Dài 153.5 mm - Ngang 73.9 mm - Dày 7.9 mm,"A2DP, LE, EDR, apt-X, v4.2",5MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 7.0 (Nougat),,,169 g,"Quay phim FullHD 1080p@60fps, Quay phim 4K 2160p@30fps",Mali-T880 MP12,USB Type-C,,,Worldphone
Google Pixel 5a 5G Likenew 99%,,8.990.000₫,6.34,6GB,128GB,Snapdragon 765G 8 nhân,4620mAh,,"A2DP, LE, v5.0",8MP,"Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi hotspot",,,,,"4K 2160p@30fps, FullHD 1080p@120fps, FullHD 1080p@240fps, FullHD 1080p@30fps, FullHD 1080p@60fps",Adreno 620,Type-C,,,Worldphone
Google Pixel 5 Likenew 99%,,6.990.000₫,6.0,8GB,128GB,Snapdragon 765G 8 nhân,4080mAh,Dài 144.7 mm - Ngang 70.4 mm - Dày 8 mm,A2DPLEapt-Xv5.0,8MP,Dual-band (2.4 GHz/5 GHz) Wi-Fi hotspot Wi-Fi Direct Wi-Fi 802.11 a/b/g/n/ac,Android 11,,,151 g,FullHD 1080p@120fpsFullHD 1080p@60fpsHD 720p@240fps4K 2160p@30fpsFullHD 1080p@30fps4K 2160p@60fps,Adreno 620,,,,Worldphone
Google Pixel 4 XL 128GB,,5.590.000₫,6.3,6GB,128GB,Snapdragon 855 8 nhân 64-bit,3700mAh,Dài 160.4 mm - Ngang 75.1 mm - Dày 8.2 mm,"apt-X, LE, A2DP, v5.0",8MP & TOF 3D,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot",Android 10,,,193 g,"Quay phim FullHD 1080p@30fps, Quay phim FullHD 1080p@60fps, Quay phim FullHD 1080p@120fps, Quay phim 4K 2160p@30fps",Adreno 640,USB Type-C,,,Worldphone
Google Pixel 4 XL 64GB,,4.790.000₫,6.3,6GB,64GB,Snapdragon 855 8 nhân 64-bit,3700mAh,Dài 160.4 mm - Ngang 75.1 mm - Dày 8.2 mm,"apt-X, LE, A2DP, v5.0",8MP & TOF 3D,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot",Android 10,,,193 g,"Quay phim FullHD 1080p@30fps, Quay phim FullHD 1080p@60fps, Quay phim FullHD 1080p@120fps, Quay phim 4K 2160p@30fps",Adreno 640,USB Type-C,,,Worldphone
Google Pixel 3a XL Cũ,,3.390.000₫,6.0,4GB,64GB,Qualcomm Snapdragon 670 8 nhân,3700mAh,Dài 160.1 mm - Ngang 76.1 mm - Dày 8.2 mm,"apt-X, LE, A2DP, v5.0",8MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot",Android 9.0 (Pie),,,167 g,"Quay phim FullHD 1080p@30fps, Quay phim FullHD 1080p@60fps, Quay phim FullHD 1080p@120fps, Quay phim 4K 2160p@30fps",Adreno 615,USB Type-C,,,Worldphone
Google Pixel 3a (Nobox - Likenew 99%),,2.790.000₫,5.6,4GB,64GB,Qualcomm Snapdragon 670 8 nhân,3000mAh,Dài 151.3 mm - Ngang 70.1 mm - Dày 8.2 mm,"apt-X, LE, A2DP, v5.0",8MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot",Android 9.0 (Pie),,,147 g,"Quay phim FullHD 1080p@30fps, Quay phim FullHD 1080p@60fps, Quay phim FullHD 1080p@120fps, Quay phim 4K 2160p@30fps",Adreno 615,USB Type-C,,,Worldphone
